Attribute ,Required ,Data Type ,Description 
id ,yes ,uuid ,Unique identifier for segment. 
ef_type ,yes ,Integer ,"Describes the type of flowpath (1-Reach, 2-Bank, 3-Skeleton, 4-Infrastructure)."
ef_subtype ,no ,Integer ,"An additional description of the flowpath type, that refers only to reach flowpaths (10-Observed, 20-Inferred, 99-Unspecified)."
rank ,yes ,Integer ,"Describes the importance of the flowpath (1-Primary, 2-Secondary)."
length ,yes ,double ,Length in metres (m) of the flowpath 
name_id ,no ,UUID ,References the id field in the Names table. 
aoi_id ,yes ,UUID ,Link to the id field in the AOI table. 
from_nexus_id ,system-generated ,UUID ,The id of the nexus at the “from” end of this flowpath 
to_nexus_id ,system-generated ,UUID ,The id of the nexus at the “to” end of this flowpath 
ecatchment_id ,system-generated ,UUID ,The id of the containing ECatchment 
geometry ,yes ,LineString ,n/a
