Code,Name,Description
1,Arch  ,Concrete structure that is curved in the upstream direction. 
2,Buttress  ,"Structure with watertight wall supported at intervals on the downstream side by a series of triangle shaped walls; typically, reinforced concrete. "
3,Earthfill  ,Structure composed of successive compacted layers of earth; clay-soil core reduces permeability. Also referred to as earth and embankment dams. 
4,Gravity  ,Structure constructed of concrete and/or masonry which relies on its weight and internal strength for stability. 
5,Multiple Arch ,A buttress dam composed of a series of arches for the upstream face.  
6,Rockfill  ,Structure composed of dumped and compacted rock fill; permeable with impermeable core or layer on the upstream face. 
7,Steel  ,"Structure consisting of a steel framework; inclined struts and steel plates on the upstream face. Supplemented with timber and earthfill to make them water-tight, steel dams are sometimes used as a temporary cofferdam during the construction of the main dam. "
8,Timber  ,Structure built primarily of wood. Commonly used for temporary water diversion in low-head (2-4 m) areas during the construction of the main dam. 
9,Unknown  ,Construction type is unknown. 
10,Other  ,"Construction type is different than those defined in this table (e.g., tailings from mining or milling, plastic, rubber, etc.)."
11,Concrete,Structure constructed of concrete.
12,Masonry,Structure constructed mainly of stone and/or brick and mortar.
